userid,total_spent
609ab37f7a2e8f2f95ae968f,157844.68
5ffb49a847903912705e9a64,20632.45023
6032cb807d464912dab4dc1e,11389.6099
607cfe881c7f7e6d7249b73a,11190.32995
61757c3da9619d4881912d84,7441.129947
601769bf3dedd212c85f049b,7301.020017
610d67eb90b1714ee8a66944,7090.019923
60047e8a2d7db612a69d2e18,6887.480013
6115880fa009af1799ef9104,6652.449956
60b7b2011d501f6c02387b62,6239.779993
607475dbdc5e904b8a919b52,6087.469968
60aeac67642e1616f4256972,5780.229997
6134c726bb1615636197f943,5754.640024
5fef29605b73fc128b245f36,4834.930002
608749aac63a95130a45fbf4,4802.59003
610038b4f5d93a3f032387f0,4790.279985
60f4a230d0e8bc176abf1809,4497.170022
61563f02c2fb93212136ecd8,4361.100053
610ad244f2757978316f7976,4338.470024
601d61856788c012f7a1b276,4220.720036
61638b504dd7b131dc5131c1,4167.509999
6074a93e9e7cc537c2d23fa4,4090.170002
6048de2ec9106b12d2b1ff61,4063.53998
60a4f97c671b6805df7d6663,3989.769998
61b450154d2ff607dab7c0aa,3977.019975
61671d28d7bd1d50be050568,3296.249966
605e7aadb9a0295a6cd25294,3237.329999
60430a90921cb112a5d6b38f,3221.219999
609756de547223427a2c627e,3004.739984
60dbb21a5265346a3dbb7095,2989.859997
6018cd94fc88db12a7195d85,2984.179989
617460366e2684498143e769,2980.250007
6185382ff6305b3daddaa88d,2969.839962
607977220eb8310a043a61db,2783.299999
619294dce9b3d75037b0d8fa,2706.360001
608ffd8c081f0303ca513daf,2702.81999
60d65ca4ae588a0e7ade103f,2692.920006
606e1d27428a045904b8beb7,2401.730001
60e6db6a2d0e962c54b17eaf,2326.78999
6172188165abe727fff3dbfd,2310.699999
60ee8a3a8802c76ea7cf6824,2305.250002
61375682c625197c5db73602,2297.989998
61578e96c2fb9321213720fc,2297.559971
61524fd71427e044a5b5721e,2231.729943
61ce28087ef94f1a020d40ca,2131.959994
611c26782cacc93cd0230faa,2118.380044
601e001f25fc3a12c13df281,2093.190012
6171a02d8034995a3d858fb3,1859.099995
60628e7d85cdff011de41113,1822.319993
614cb66aa4e2a6269fc00aec,1698.559971
617ac11f6e90120c3e9e34b8,1663.570001
617376b8a9619d488190e0b6,1662.010006
607b2b0a0eb8310a044206ff,1604.889994
613551ade5e9e51723cf1195,1514.120006
614a59cfa4e2a6269fbfc478,1448.790006
611d94ecc9c88754a8a867e2,1391.190009
5ffdf6f6224dc11273156070,1386.400006
611824b05433742b094b3c3d,1385.630023
6056acf9379c7462d16f9fec,1262.999998
608f1cdc21235772622ea116,1246.570006
60f2e4c937a39e73491ddbf4,1167.869987
61a1a19706570b5913a27b8c,1162.610003
61bfce5d6655417f803b6538,1023.069995
6006637e964bbe129c1fbe69,1018.520003
60f84c4381e3cd0a49a11d86,983.5200028
614fb1590c788e7157f0b22f,982.810004
5ff48849291b6b12931ce51f,959.6100016
6046d0f4e5ec7a12aadff781,914.2299957
603148dac629ac12dd7ca0ca,857.8100059
600c8b4842acf712c2ae5829,826.3399925
60de282413a6767c9a18e4ef,794.3200107
61b3aeab09f87d4328df1820,789.5000039
61589db15526ad3d997de6d7,728.7999985
605d06b594a5c74ba447715c,722.7900078
614e35f0a77e5b35a4d636fe,690.2999973
61a4394f07acef7276e6fef5,635.9800048
6075bf31f5138a502a3e82b5,615.8000069
6175becebb82f118a6e8b840,586.9899921
613d34c6e0d23951391429c2,518.4799963
61562d8cb220b85b9614d43e,384.0700016
619aa15807acef7276e4f72c,372.6300011
61042edf7504b75ef01a3562,365.4299994
6140bd7bcb59cb0558ddd43e,343.269989
61678561d7bd1d50be05189b,340.190001
60e61f2e2c9f1e476b465e23,252.1700032
61b8e6ab3c43881d14ba868d,129.7300034
601df93929b8ac12cbf13f0c,121.4200001
60e65f562d0e962c54b11ff3,103.9599991
607ecc8586fda42918dfb2fb,51.53999901
61abfc4a7c22c7641cc0c577,48.98999929
6001dbb3878e221317c8a065,48.10999966
